path	review_area	added	deleted	verification
Cargo.lock	R14 R15	4	4	版番号・変更案内を照合（配布物作成未実施）
Cargo.toml	R14 R15	1	1	版番号・変更案内を照合（配布物作成未実施）
README.md	R14 R15	19	1	版番号・変更案内を照合（配布物作成未実施）
docs/README.md	R14 R15	5	2	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/architecture-overview.md	R14 R15	15	1	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/async-architecture.md	R14 R15	6	1	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/bake-stage-unification-plan.md	R01 R02 R03 R05	178	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/codex-context-menu-unify-a-brief.md	R01 R02 R03 R05	136	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/codex-context-menu-unify-b-brief.md	R01 R02 R03 R05	93	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/codex-external-tool-p0-brief.md	R01 R02 R03 R05	183	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/codex-external-tool-p1-brief.md	R01 R02 R03 R05	166	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/codex-external-tool-p1b-brief.md	R01 R02 R03 R05	94	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/codex-external-tool-p1c-brief.md	R01 R02 R03 R05	101	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/codex-external-tool-p1d-brief.md	R01 R02 R03 R05	85	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/codex-external-tool-p2a-brief.md	R01 R02 R03 R05	111	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/codex-external-tool-p2b1-brief.md	R01 R02 R03 R05	115	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/codex-external-tool-p2b2-brief.md	R01 R02 R03 R05	99	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/codex-external-tool-p2c-brief.md	R01 R02 R03 R05	71	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/codex-external-tool-p3-brief.md	R01 R02 R03 R05	110	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/codex-item-kind-matrix-brief.md	R01 R02 R03 R05	106	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/codex-tag-page-support-survey-brief.md	R14 R15	94	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/lane-display-geometry.md	R06	140	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/lane-export-batch.md	R05	129	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/lane-rating-time-order.md	R09	118	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/lane-seek-strip-modes.md	R07	129	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/review-bake-stage-and-external-tool.md	R01 R02 R03 R05	114	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/review-findings-bake-stage-raw.md	R01 R02 R03 R05	27	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/briefs/review-status-bake-stage.md	R01 R02 R03 R05	49	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/context-menu-unification-plan.md	R01 R02 R03 R05	389	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/detached-rework-plan.md	R04 R08 R11 R13	122	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/display-pipeline.md	R06	34	2	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/external-tool-launch-plan.md	R01 R02 R03 R05	1185	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/fullscreen-side-panel-mode-plan.md	R08	48	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/item-kind-capability-matrix.md	R01 R02 R03 R05	224	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/key-customization-impl-plan.md	R12	3	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/keymap-spec.md	R12	17	2	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/keymap.ini.default	R12	14	1	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/next-release-backlog.md	R14 R15	437	471	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/panorama-360-view-plan.md	R11	55	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/rating-list-view-plan.md	R09	17	8	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/release-verification-records.md	R14 R15	50	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/review-v3.3.0/README.md	R14 R15	2	2	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/settings-sqlite-migration.md	R10	48	2	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/shell-file-operations-context-menu-plan.md	R01 R02 R03 R05	19	13	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/spec.md	R14 R15	110	17	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/tag-page-support-survey.md	R14 R15	369	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
docs/toolbar-customization-plan.md	R12	3	0	仕様/計画/過去レビューとして現行差分と照合（関連節）
